var,coef val
Neighborhood_OldTown,-469.1584118040844
Heating_OthW,-479.06010800610454
Exterior 2nd_Stucco,-595.517460085552
Exterior 1st_Wd Sdng,-675.4335205863367
MS Zoning_RM,-705.3680408254672
Exterior 1st_HdBoard,-955.1369372662383
Roof Style_Mansard,-975.4445994577379
Neighborhood_Edwards,-1235.5398437368442
Exterior 1st_Stucco,-1236.6686636883614
MS SubClass_160,-1251.0674551078184
Kitchen AbvGr,-1337.9997980517364
Pool QC,-2213.8964301804785
Bldg Type_Twnhs,-2351.8088855382875
MS SubClass_120,-2452.8461758321228
Bldg Type_TwnhsE,-3436.2745965846043
Misc Val,-7066.95911336865
